DATA,SPEI_1,SPEI_2,SPEI_3,SPEI_4,SPEI_5,SPEI_6,SPEI_7,SPEI_8,SPEI_9,SPEI_10,SPEI_11,SPEI_12,SPEI_13,SPEI_14,SPEI_15,SPEI_16,SPEI_17,SPEI_18,SPEI_19,SPEI_20,SPEI_21,SPEI_22,SPEI_23,SPEI_24,SPEI_25,SPEI_26,SPEI_27,SPEI_28,SPEI_29,SPEI_30,SPEI_31,SPEI_32,SPEI_33,SPEI_34,SPEI_35,SPEI_36,SPEI_37,SPEI_38,SPEI_39,SPEI_40,SPEI_41,SPEI_42,SPEI_43,SPEI_44,SPEI_45,SPEI_46,SPEI_47,SPEI_48
Jan1950,0.23488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1950,-1.41357,-0.9304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1950,1.53453,0.15866,0.11304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1950,0.36481,1.35604,0.22872,0.14536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1950,2.3414,1.97526,1.9228,1.062,0.89249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1950,0.3932,2.37208,1.93595,1.8993,1.06194,0.90066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1950,-0.24044,0.03264,2.38016,1.84533,1.86671,1.01947,0.8651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1950,0.2025,-0.02419,0.08806,2.25815,1.78408,1.84659,1.00467,0.85895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep1950,0.38586,0.25083,0.03277,0.07044,1.70236,1.59159,1.78826,0.96498,0.85564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct1950,-0.8173,-0.73892,-0.70543,-0.71217,-0.65578,0.51187,0.51683,1.16579,0.33962,0.32783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov1950,0.24405,-0.5871,-0.59216,-0.55856,-0.55914,-0.49234,0.54058,0.54852,1.20075,0.38854,0.33928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec1950,-1.77905,-1.32632,-1.61146,-1.54523,-1.53499,-1.54979,-1.47232,-0.46267,-0.44664,0.34595,-0.36301,-0.35264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan1951,-0.35216,-1.51054,-1.33069,-1.63172,-1.5896,-1.59882,-1.63096,-1.56734,-0.69958,-0.67411,0.05165,-0.53456,-0.53986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1951,-0.98155,-0.99392,-1.56019,-1.48031,-1.92032,-1.86593,-1.88935,-1.94258,-1.90841,-1.13723,-1.09252,-0.3982,-0.91458,-0.88751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1951,-1.31117,-1.66879,-1.46322,-1.80944,-1.73031,-2.07412,-2.04596,-2.05823,-2.08212,-2.04781,-1.43309,-1.3738,-0.78562,-1.16709,-1.11514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
