DATA,SPEI_1,SPEI_2,SPEI_3,SPEI_4,SPEI_5,SPEI_6,SPEI_7,SPEI_8,SPEI_9,SPEI_10,SPEI_11,SPEI_12,SPEI_13,SPEI_14,SPEI_15,SPEI_16,SPEI_17,SPEI_18,SPEI_19,SPEI_20,SPEI_21,SPEI_22,SPEI_23,SPEI_24,SPEI_25,SPEI_26,SPEI_27,SPEI_28,SPEI_29,SPEI_30,SPEI_31,SPEI_32,SPEI_33,SPEI_34,SPEI_35,SPEI_36,SPEI_37,SPEI_38,SPEI_39,SPEI_40,SPEI_41,SPEI_42,SPEI_43,SPEI_44,SPEI_45,SPEI_46,SPEI_47,SPEI_48
Jan1950,0.21536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1950,-0.98345,-0.3916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1950,2.01794,0.88539,0.65341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1950,-0.44525,1.53632,0.64011,0.51772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1950,1.57095,0.70824,1.88625,1.02098,0.77221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1950,0.414,1.4805,0.7443,1.96644,1.06086,0.80176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1950,-0.45112,-0.14674,1.04144,0.44297,1.87689,0.97598,0.72784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1950,-0.07306,-0.37795,-0.24094,0.7529,0.26639,1.7119,0.91513,0.67729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep1950,-0.50839,-0.53375,-0.65197,-0.5494,0.20056,-0.11875,1.43857,0.69864,0.5017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct1950,-0.41168,-0.66768,-0.67421,-0.73594,-0.64625,-0.15788,-0.34563,0.70376,0.23332,0.21982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov1950,0.07981,-0.30433,-0.50433,-0.51106,-0.58498,-0.52287,-0.13811,-0.27035,0.58954,0.15653,0.14684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec1950,0.91766,0.57195,0.32986,0.2247,0.17928,0.11305,0.1218,0.37245,0.24509,0.88919,0.55627,0.47734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan1951,1.15375,1.27397,1.00031,0.78128,0.70056,0.66801,0.62894,0.63309,0.81366,0.69847,1.14571,0.89787,0.77942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1951,-0.90678,0.53125,0.86729,0.67827,0.50371,0.4259,0.40711,0.37212,0.3817,0.56876,0.46157,0.93344,0.69945,0.6009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1951,0.69968,-0.26736,0.67696,0.93736,0.76757,0.61012,0.54105,0.51978,0.48358,0.49369,0.65546,0.55594,0.98338,0.77393,0.67094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1951,-1.48074,-0.19234,-0.83171,0.32938,0.63809,0.52874,0.38788,0.31298,0.2966,0.26182,0.2751,0.44529,0.3537,0.81041,0.60136,0.52629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1951,-0.28282,-1.43936,-0.34076,-0.88994,0.23635,0.56491,0.4653,0.3342,0.25711,0.24293,0.20986,0.22204,0.39738,0.30848,0.77785,0.56439,0.49906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1951,-0.07878,-0.33417,-1.35052,-0.39504,-0.91109,0.2186,0.54938,0.44724,0.32289,0.24755,0.22835,0.19478,0.2061,0.38074,0.29146,0.75967,0.54457,0.48063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1951,1.8698,1.28775,0.65349,-0.49948,0.12054,-0.45864,0.45055,0.73468,0.59924,0.45874,0.38852,0.36693,0.32816,0.33636,0.50246,0.41033,0.86105,0.64875,0.57456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1951,0.05536,1.07733,0.83468,0.47472,-0.4463,0.09596,-0.46785,0.41197,0.70951,0.58551,0.43194,0.36263,0.34205,0.30397,0.31181,0.48114,0.38966,0.84608,0.6326,0.56139,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep1951,0.6264,0.39114,0.96264,0.82262,0.60888,-0.25997,0.18219,-0.40005,0.45918,0.75818,0.61698,0.43689,0.36586,0.34443,0.30461,0.31243,0.48228,0.3945,0.85918,0.64526,0.56851,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct1951,1.81615,1.74793,1.72602,1.88325,1.8675,1.81581,1.47066,1.49006,1.0932,1.29716,1.38959,1.19577,1.03518,0.97758,0.95499,0.92223,0.92629,1.0537,0.96904,1.2874,1.11765,1.01447,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov1951,1.11837,1.86225,1.85265,1.81655,1.92432,1.91991,1.90874,1.646,1.70132,1.3683,1.51537,1.58488,1.39501,1.22664,1.17134,1.14756,1.11921,1.12164,1.22833,1.14783,1.41548,1.26913,1.17843,,,,,,,,,,,,,,,,,,,,,,,,,
Dec1951,-0.21202,0.55644,1.54472,1.55783,1.52829,1.64961,1.64492,1.63811,1.37045,1.40312,1.12614,1.32427,1.38071,1.24009,1.09838,1.0483,1.01907,0.98944,0.99192,1.09963,1.02538,1.29222,1.15797,1.07982,,,,,,,,,,,,,,,,,,,,,,,,
Jan1952,0.28935,-0.00979,0.54075,1.32862,1.3595,1.34384,1.45948,1.44251,1.41883,1.19449,1.23999,1.01339,1.18012,1.24837,1.13419,1.01641,0.97423,0.95252,0.92717,0.9312,1.02459,0.96134,1.19735,1.07497,1.01642,,,,,,,,,,,,,,,,,,,,,,,
Feb1952,1.31947,0.93317,0.57664,0.93537,1.55259,1.56393,1.54946,1.63187,1.61647,1.60083,1.42082,1.45542,1.28524,1.39197,1.41102,1.3076,1.19509,1.1608,1.14001,1.11678,1.1194,1.20234,1.13884,1.34539,1.23016,1.16826,,,,,,,,,,,,,,,,,,,,,,
Mar1952,0.09466,1.10008,0.83247,0.49656,0.86622,1.46829,1.49154,1.47367,1.5561,1.54472,1.52426,1.35114,1.39388,1.23099,1.33641,1.36282,1.27788,1.16168,1.12802,1.10871,1.08606,1.08922,1.17219,1.11137,1.31497,1.20152,1.1425,,,,,,,,,,,,,,,,,,,,,
Apr1952,-1.62377,-0.79636,0.49959,0.47038,0.15452,0.6104,1.28853,1.32176,1.30163,1.39184,1.37751,1.3515,1.17449,1.23334,1.06654,1.2009,1.24636,1.17081,1.05384,1.02127,1.00118,0.97771,0.98146,1.06666,1.00741,1.22259,1.1075,1.05408,,,,,,,,,,,,,,,,,,,,
May1952,-0.38436,-1.59092,-0.93068,0.3599,0.36113,0.07127,0.53834,1.25314,1.288,1.26748,1.36129,1.34688,1.32159,1.14026,1.20294,1.03098,1.17034,1.22313,1.14838,1.02901,0.99682,0.97578,0.9517,0.95477,1.0392,0.97955,1.19773,1.08321,1.03025,,,,,,,,,,,,,,,,,,,
Jun1952,-0.38791,-0.55226,-1.55465,-1.00088,0.28957,0.31458,0.03294,0.50067,1.23079,1.26596,1.2441,1.33834,1.32339,1.29686,1.11365,1.17625,1.00234,1.14944,1.20529,1.12942,1.00954,0.97688,0.95556,0.9311,0.93415,1.01949,0.95928,1.18005,1.06542,1.01282,,,,,,,,,,,,,,,,,,
Jul1952,-0.26441,-0.4327,-0.61813,-1.41253,-1.00075,0.23046,0.24546,-0.02115,0.45065,1.20798,1.24481,1.22111,1.31805,1.301,1.27223,1.0813,1.1467,0.96482,1.12494,1.18574,1.10871,0.98669,0.95284,0.93042,0.90461,0.90755,0.99479,0.9334,1.16152,1.04507,0.99453,,,,,,,,,,,,,,,,,
Aug1952,-1.58606,-1.14537,-1.10828,-1.16348,-1.59108,-1.29345,-0.18781,-0.05358,-0.25413,0.26419,1.07414,1.11997,1.09593,1.20377,1.18422,1.15244,0.95167,1.0253,0.83491,1.02519,1.10362,1.02867,0.90354,0.86848,0.84498,0.81827,0.82217,0.91357,0.85244,1.09435,0.97477,0.92702,,,,,,,,,,,,,,,,
Sep1952,-0.73541,-1.55813,-1.25857,-1.23412,-1.34901,-1.69497,-1.41994,-0.52601,-0.29128,-0.42811,0.11415,0.95262,1.0057,0.98378,1.10795,1.08738,1.04841,0.83316,0.91473,0.71795,0.93413,1.02687,0.95454,0.8261,0.78996,0.76719,0.74069,0.74592,0.83955,0.77995,1.03369,0.90949,0.86814,,,,,,,,,,,,,,,
Oct1952,-0.72425,-1.06438,-1.57356,-1.41206,-1.36324,-1.40374,-1.73903,-1.45186,-0.77433,-0.48495,-0.55521,-0.0943,0.64079,0.69369,0.68194,0.79836,0.7805,0.742,0.56679,0.6419,0.47046,0.69237,0.82294,0.77075,0.65881,0.62485,0.60552,0.57978,0.58522,0.67297,0.6205,0.86903,0.7523,0.72114,,,,,,,,,,,,,,
Nov1952,1.34556,0.75669,0.54706,0.25304,0.20402,0.11811,-0.02828,-0.44455,-0.42531,0.15466,0.17695,0.00422,0.34826,0.97626,1.01483,0.99905,1.09479,1.07891,1.04589,0.88591,0.94206,0.79222,0.96519,1.06461,1.0056,0.8976,0.86795,0.84634,0.82198,0.82554,0.90828,0.8537,1.07458,0.96093,0.92462,,,,,,,,,,,,,
Dec1952,-0.15554,0.79839,0.44337,0.30621,0.02175,-0.01897,-0.08672,-0.21059,-0.54551,-0.49941,0.0271,0.06507,-0.07272,0.26625,0.86941,0.90863,0.8872,0.977,0.96149,0.93238,0.77936,0.84033,0.70262,0.88312,0.98076,0.92656,0.82519,0.79281,0.77296,0.74837,0.7527,0.83567,0.78397,1.00778,0.89399,0.8569,,,,,,,,,,,,
Jan1953,1.53236,1.03323,1.36003,1.08328,0.98346,0.81337,0.79073,0.74432,0.67037,0.39644,0.35972,0.72738,0.64948,0.48191,0.70962,1.14259,1.16822,1.1517,1.22044,1.20956,1.18903,1.06444,1.10149,0.98467,1.11307,1.18396,1.13185,1.04198,1.01471,0.9988,0.97787,0.98106,1.05202,1.00379,1.19112,1.08873,1.04867,,,,,,,,,,,
Feb1953,-0.71689,0.99788,0.66682,1.13349,0.86838,0.77414,0.6108,0.59212,0.54779,0.47605,0.20797,0.19373,0.56869,0.50801,0.36366,0.60704,1.03791,1.07242,1.05744,1.12686,1.11561,1.09193,0.96373,1.00341,0.88581,1.02364,1.09974,1.05193,0.96668,0.93908,0.92208,0.90103,0.90444,0.97506,0.92694,1.11878,1.01891,0.97919,,,,,,,,,,
Mar1953,-0.3251,-0.80725,0.77021,0.46442,0.97377,0.73606,0.64869,0.48779,0.46625,0.42849,0.35675,0.10742,0.0969,0.4642,0.41952,0.29527,0.54447,0.96641,1.00101,0.98717,1.05712,1.04659,1.02391,0.89993,0.94255,0.82646,0.96656,1.04987,1.00699,0.92182,0.89315,0.87769,0.85576,0.85908,0.92907,0.88326,1.07395,0.9739,0.93786,,,,,,,,,
Apr1953,-0.81266,-0.72926,-1.08246,0.56466,0.26381,0.82366,0.60198,0.51098,0.35003,0.33032,0.29371,0.22241,-0.01869,-0.0285,0.35588,0.33344,0.21442,0.47061,0.90187,0.93889,0.92451,0.99609,0.98556,0.96178,0.83889,0.88555,0.76842,0.91559,1.00236,0.95562,0.87084,0.84178,0.82654,0.80429,0.80693,0.8777,0.8317,1.02451,0.92327,0.88548,,,,,,,,
May1953,1.73548,0.62792,0.12285,-0.40433,0.85814,0.54453,1.02803,0.7977,0.7101,0.55826,0.5388,0.50128,0.43672,0.20283,0.19034,0.54993,0.50707,0.3715,0.61118,1.01018,1.04411,1.02867,1.09509,1.08422,1.06208,0.94215,0.9842,0.87193,1.00419,1.07952,1.0312,0.94968,0.92219,0.90744,0.88669,0.88924,0.95784,0.91226,1.09632,0.99963,0.961,,,,,,,
Jun1953,1.43472,2.00098,1.0483,0.41053,-0.14453,0.98809,0.66399,1.11294,0.87865,0.79363,0.6411,0.61989,0.58223,0.52003,0.28879,0.27234,0.61881,0.56626,0.42462,0.65766,1.0487,1.08135,1.06569,1.13089,1.12004,1.0989,0.97918,1.01925,0.90881,1.0358,1.1076,1.06,0.97816,0.95148,0.93692,0.91657,0.91914,0.98654,0.94126,1.12268,1.02779,0.98987,,,,,,
Jul1953,-0.59709,0.41215,1.58662,0.68242,0.19696,-0.26802,0.9096,0.5799,1.06099,0.81531,0.72857,0.57134,0.54543,0.50619,0.44163,0.20914,0.19468,0.54662,0.50542,0.3734,0.61223,1.0142,1.04772,1.03104,1.09774,1.08634,1.0642,0.94123,0.9845,0.87278,1.00734,1.08146,1.03408,0.9497,0.92282,0.90807,0.88707,0.88964,0.95858,0.91321,1.09872,1.00131,0.965,,,,,
Aug1953,0.63297,0.01058,0.54234,1.62239,0.7467,0.33184,-0.14511,0.96687,0.62648,1.1054,0.84598,0.75896,0.60114,0.57525,0.53537,0.47399,0.24274,0.22536,0.57795,0.53379,0.39912,0.63453,1.0368,1.06992,1.0523,1.1197,1.10873,1.08744,0.96343,1.00663,0.89422,1.02761,1.09988,1.04972,0.96439,0.93794,0.92323,0.90229,0.90496,0.97447,0.92863,1.11534,1.016,0.97951,,,,
Sep1953,-0.33082,0.00336,-0.31496,0.07027,1.03351,0.37724,0.06167,-0.38849,0.849,0.50482,1.01446,0.74271,0.65065,0.48692,0.46074,0.42027,0.35397,0.12876,0.1093,0.48241,0.44601,0.32379,0.56707,0.98538,1.01966,1.00255,1.07368,1.06293,1.04021,0.91438,0.96112,0.84497,0.98878,1.06644,1.01641,0.92919,0.90081,0.88647,0.86487,0.86776,0.939,0.89369,1.08417,0.98203,0.9466,,,
