DATA,SPEI_1,SPEI_2,SPEI_3,SPEI_4,SPEI_5,SPEI_6,SPEI_7,SPEI_8,SPEI_9,SPEI_10,SPEI_11,SPEI_12,SPEI_13,SPEI_14,SPEI_15,SPEI_16,SPEI_17,SPEI_18,SPEI_19,SPEI_20,SPEI_21,SPEI_22,SPEI_23,SPEI_24,SPEI_25,SPEI_26,SPEI_27,SPEI_28,SPEI_29,SPEI_30,SPEI_31,SPEI_32,SPEI_33,SPEI_34,SPEI_35,SPEI_36,SPEI_37,SPEI_38,SPEI_39,SPEI_40,SPEI_41,SPEI_42,SPEI_43,SPEI_44,SPEI_45,SPEI_46,SPEI_47,SPEI_48
Jan1950,1.21944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1950,-0.26162,0.64713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1950,0.33223,-0.06129,0.60624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1950,-1.58038,-0.79975,-0.81115,0.01398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1950,-0.17916,-1.31386,-0.88784,-0.88346,-0.10878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1950,-0.7704,-0.75188,-1.60311,-1.32707,-1.20397,-0.33675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1950,-0.79965,-0.98186,-0.97531,-1.66548,-1.44106,-1.34716,-0.53574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1950,0.10034,-0.49769,-0.79064,-0.85288,-1.49247,-1.28625,-1.30901,-0.5379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep1950,0.03349,-0.02267,-0.42231,-0.73069,-0.81652,-1.42613,-1.19578,-1.29543,-0.59526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct1950,-0.39588,-0.4216,-0.4171,-0.63794,-0.88263,-0.95778,-1.51874,-1.3068,-1.34739,-0.74052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov1950,-0.15881,-0.53451,-0.62596,-0.61781,-0.76793,-0.97456,-0.99624,-1.45492,-1.26309,-1.30546,-0.77347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec1950,1.1199,0.61353,0.40382,0.23703,0.19376,0.01037,-0.21819,-0.30376,-0.7209,-0.63508,-0.74199,-0.20245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
