DATA,SPEI_1,SPEI_2,SPEI_3,SPEI_4,SPEI_5,SPEI_6,SPEI_7,SPEI_8,SPEI_9,SPEI_10,SPEI_11,SPEI_12,SPEI_13,SPEI_14,SPEI_15,SPEI_16,SPEI_17,SPEI_18,SPEI_19,SPEI_20,SPEI_21,SPEI_22,SPEI_23,SPEI_24,SPEI_25,SPEI_26,SPEI_27,SPEI_28,SPEI_29,SPEI_30,SPEI_31,SPEI_32,SPEI_33,SPEI_34,SPEI_35,SPEI_36,SPEI_37,SPEI_38,SPEI_39,SPEI_40,SPEI_41,SPEI_42,SPEI_43,SPEI_44,SPEI_45,SPEI_46,SPEI_47,SPEI_48
Jan1950,0.52095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1950,-1.59265,-0.66422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1950,-0.35446,-1.32808,-0.7882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1950,-0.92048,-0.95653,-1.59558,-1.00216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1950,0.75424,-0.32297,-0.60331,-1.36233,-0.89908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1950,-0.26826,0.4065,-0.46048,-0.71383,-1.4217,-0.93144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1950,-1.04234,-0.87069,-0.11569,-0.80401,-0.93406,-1.51509,-1.01795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1950,-0.18291,-0.65529,-0.66294,-0.16111,-0.72892,-0.89201,-1.52709,-1.00961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep1950,-1.01799,-0.78129,-0.99891,-1.01262,-0.65086,-1.10386,-1.15939,-1.71628,-1.16096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct1950,0.04103,-0.43615,-0.49178,-0.76832,-0.80907,-0.49198,-0.9783,-1.14001,-1.64356,-1.17035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov1950,-0.4572,-0.51038,-0.8355,-0.8577,-1.01938,-1.07404,-0.85031,-1.1466,-1.24224,-1.6881,-1.22622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec1950,0.63818,0.15037,0.10297,-0.10761,-0.14115,-0.27917,-0.35769,-0.22586,-0.44452,-0.57569,-1.20237,-0.91275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan1951,1.34082,1.28278,0.94284,0.92947,0.75603,0.71159,0.60658,0.54517,0.639,0.38854,0.27767,-0.3746,-0.2803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1951,-0.19646,0.91472,0.98646,0.6771,0.68232,0.52457,0.47997,0.3706,0.31723,0.39286,0.16624,0.02002,-0.56953,-0.42631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1951,1.42325,0.65487,1.3789,1.36657,1.05126,1.09553,0.95689,0.91605,0.80995,0.7652,0.83361,0.60141,0.45013,-0.15413,-0.08847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1951,-0.88675,0.86629,0.3139,1.10431,1.14527,0.85512,0.88019,0.73427,0.69376,0.59121,0.54817,0.61396,0.38501,0.24874,-0.33766,-0.27236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1951,1.00133,-0.06777,1.08526,0.4999,1.26727,1.24628,0.96709,0.99942,0.85357,0.81379,0.71055,0.66226,0.73393,0.50163,0.35778,-0.2519,-0.19076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1951,-0.34466,0.64062,-0.22902,1.00517,0.4237,1.20048,1.21065,0.91751,0.94506,0.8003,0.76045,0.65653,0.60874,0.68059,0.44709,0.30582,-0.28362,-0.2265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
