DATA,SPEI_1,SPEI_2,SPEI_3,SPEI_4,SPEI_5,SPEI_6,SPEI_7,SPEI_8,SPEI_9,SPEI_10,SPEI_11,SPEI_12,SPEI_13,SPEI_14,SPEI_15,SPEI_16,SPEI_17,SPEI_18,SPEI_19,SPEI_20,SPEI_21,SPEI_22,SPEI_23,SPEI_24,SPEI_25,SPEI_26,SPEI_27,SPEI_28,SPEI_29,SPEI_30,SPEI_31,SPEI_32,SPEI_33,SPEI_34,SPEI_35,SPEI_36,SPEI_37,SPEI_38,SPEI_39,SPEI_40,SPEI_41,SPEI_42,SPEI_43,SPEI_44,SPEI_45,SPEI_46,SPEI_47,SPEI_48
Jan1950,1.05387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1950,0.13232,0.70963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1950,-0.73806,-0.40677,0.27663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1950,0.62582,-0.41414,-0.13481,0.4544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1950,0.7785,0.85332,-0.04816,0.07232,0.57568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1950,-1.63494,-0.17872,0.22529,-0.50084,-0.25946,0.36438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1950,-1.59917,-2.31599,-0.80045,-0.25129,-0.80185,-0.53241,0.15425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1950,-1.26053,-1.77201,-2.15349,-1.19994,-0.65504,-1.02377,-0.75756,-0.04835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep1950,-1.2323,-1.7637,-2.18927,-2.21642,-1.57076,-1.15528,-1.33553,-1.10366,-0.45057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct1950,0.65521,-0.08103,-0.42672,-0.75558,-1.14222,-0.78691,-0.51644,-0.81336,-0.69667,-0.1526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov1950,1.02027,1.05811,0.6188,0.37954,0.13516,-0.13382,0.04015,0.21656,-0.0817,-0.07667,0.30874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec1950,2.03118,2.06206,1.92778,1.65697,1.51331,1.34024,1.15521,1.24485,1.29693,0.9868,0.91121,1.11572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan1951,-0.09379,1.67336,1.79196,1.74759,1.45294,1.32557,1.16989,0.99523,1.07955,1.14386,0.8684,0.79705,0.98861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1951,0.25485,0.07006,1.35892,1.6632,1.65754,1.33357,1.18676,1.04033,0.86608,0.95911,1.03415,0.7697,0.7234,0.92027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1951,0.58859,0.43339,0.24965,1.40691,1.75589,1.75036,1.44193,1.29402,1.15916,0.98492,1.07596,1.13993,0.88482,0.81731,0.99774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1951,-1.26774,-0.37826,-0.0212,-0.07257,1.10607,1.4696,1.55081,1.21284,1.05952,0.92112,0.75314,0.85268,0.94283,0.69163,0.63814,0.83172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1951,0.43468,-0.65917,-0.20258,0.05316,-0.02685,1.13503,1.46632,1.54661,1.25764,1.11676,0.98482,0.81983,0.9208,1.00324,0.76467,0.70353,0.87723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1951,-0.43548,0.02885,-0.86664,-0.35951,-0.07515,-0.09092,1.05395,1.38651,1.4825,1.20076,1.05955,0.92333,0.75652,0.86324,0.95202,0.7079,0.64733,0.83204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1951,-0.48919,-0.62487,-0.16316,-0.96683,-0.45683,-0.17947,-0.17018,0.98754,1.34309,1.44838,1.15671,1.00814,0.86554,0.69455,0.80441,0.90125,0.65228,0.59399,0.79213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1951,-0.16391,-0.37823,-0.56502,-0.2722,-0.92834,-0.48703,-0.22575,-0.20983,0.91923,1.28519,1.41788,1.12325,0.96816,0.82014,0.64836,0.763,0.86043,0.61574,0.56566,0.76913,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep1951,-0.39795,-0.41535,-0.52753,-0.6894,-0.51633,-1.02869,-0.61617,-0.44255,-0.40735,0.69089,1.09332,1.23603,0.95047,0.79058,0.64982,0.48819,0.6016,0.70397,0.48606,0.44871,0.66097,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct1951,2.37928,1.92173,1.81178,1.68844,1.60854,1.62676,1.27408,1.33001,1.23338,1.04538,1.74001,1.85714,1.93231,1.72691,1.63794,1.54244,1.44236,1.53087,1.53531,1.33611,1.28059,1.35017,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov1951,-0.56562,1.61679,1.43859,1.38086,1.28383,1.19847,1.19882,0.8811,0.93704,0.8934,0.75091,1.42997,1.62456,1.68125,1.52122,1.43345,1.3514,1.25072,1.33376,1.34253,1.17704,1.12195,1.21747,,,,,,,,,,,,,,,,,,,,,,,,,
Dec1951,-0.16651,-0.57548,1.34031,1.18607,1.13726,1.0648,0.99332,1.01479,0.6857,0.78907,0.76818,0.64507,1.36827,1.57722,1.63719,1.47047,1.37186,1.29091,1.18883,1.25461,1.27958,1.12235,1.08617,1.18122,,,,,,,,,,,,,,,,,,,,,,,,
Jan1952,1.36532,0.83402,0.32134,1.6987,1.53899,1.52528,1.46029,1.39452,1.40618,1.14012,1.18157,1.13557,0.97122,1.62954,1.75752,1.81724,1.66723,1.592,1.5243,1.42645,1.48846,1.49474,1.34523,1.33499,1.40436,,,,,,,,,,,,,,,,,,,,,,,
Feb1952,1.00413,1.38924,1.09329,0.67387,1.86785,1.68704,1.65536,1.60352,1.51839,1.53216,1.28607,1.31071,1.28763,1.12525,1.75079,1.84076,1.88288,1.76059,1.7059,1.64044,1.5473,1.61377,1.61629,1.47885,1.46498,1.51196,,,,,,,,,,,,,,,,,,,,,,
Mar1952,-1.10646,0.10502,0.79582,0.56893,0.25098,1.55903,1.38291,1.33942,1.29659,1.22261,1.24687,0.99635,1.05553,1.01899,0.85837,1.50863,1.66865,1.73665,1.58891,1.52349,1.44413,1.33914,1.415,1.43781,1.28259,1.26732,1.33949,,,,,,,,,,,,,,,,,,,,,
Apr1952,-1.61559,-1.73512,-0.49012,0.40312,0.17946,-0.10188,1.29093,1.09478,1.04786,1.00264,0.93892,0.9726,0.7392,0.81115,0.78909,0.64735,1.3039,1.49924,1.56817,1.41254,1.33698,1.25088,1.14725,1.22192,1.25914,1.11143,1.09398,1.18203,,,,,,,,,,,,,,,,,,,,
May1952,-0.80783,-1.67326,-1.80718,-0.75199,0.16864,-0.01062,-0.23707,1.13547,0.96801,0.92213,0.87648,0.81544,0.85477,0.62783,0.71457,0.69163,0.55885,1.20387,1.40436,1.46263,1.3093,1.23039,1.14617,1.04462,1.11731,1.15834,1.01276,0.99345,1.09059,,,,,,,,,,,,,,,,,,,
Jun1952,-1.45685,-1.36342,-1.95746,-1.99373,-1.02054,-0.0249,-0.19472,-0.40941,0.98137,0.81806,0.76883,0.71965,0.6596,0.70293,0.4749,0.5738,0.55669,0.44099,1.10114,1.32033,1.38013,1.21992,1.1361,1.04922,0.94689,1.02042,1.06802,0.9186,0.89803,1.00683,,,,,,,,,,,,,,,,,,
Jul1952,1.21299,-0.04843,-0.6966,-1.5228,-1.72433,-0.79282,0.13342,-0.05718,-0.28442,1.08938,0.92703,0.88073,0.83216,0.77074,0.81467,0.57833,0.67153,0.64962,0.52532,1.17759,1.38538,1.44833,1.29145,1.21132,1.12529,1.02366,1.09584,1.13863,0.9904,0.97318,1.07706,,,,,,,,,,,,,,,,,
Aug1952,-1.72164,-0.32016,-0.98006,-1.28978,-1.76786,-1.89002,-1.07624,-0.13367,-0.29321,-0.50572,0.89114,0.72658,0.67076,0.61721,0.55783,0.60463,0.36907,0.48686,0.48112,0.37924,1.04788,1.27986,1.35396,1.18585,1.09674,1.00521,0.89943,0.97322,1.02204,0.86906,0.85728,0.97755,,,,,,,,,,,,,,,,
Sep1952,-0.95543,-1.75688,-0.9191,-1.2925,-1.51273,-2.02295,-2.04204,-1.29154,-0.46746,-0.56969,-0.73832,0.60546,0.45474,0.39925,0.35155,0.2956,0.34186,0.11558,0.26408,0.27552,0.20632,0.85931,1.11358,1.19008,1.02134,0.92647,0.83183,0.72776,0.8026,0.85726,0.70815,0.69406,0.83128,,,,,,,,,,,,,,,
Oct1952,0.56729,-0.04329,-0.51296,-0.15927,-0.53316,-0.80828,-1.33278,-1.60318,-0.93304,-0.20687,-0.3171,-0.48189,0.72092,0.58676,0.53992,0.50091,0.44799,0.49359,0.29521,0.4201,0.40923,0.32583,0.91676,1.14225,1.21097,1.05342,0.96683,0.88161,0.78831,0.85781,0.90215,0.76052,0.74917,0.86915,,,,,,,,,,,,,,
Nov1952,1.08145,1.05329,0.69044,0.37579,0.5636,0.3428,0.07225,-0.39905,-0.77417,-0.25452,0.29207,0.13762,-0.00122,1.03604,0.92159,0.87827,0.84104,0.80007,0.84421,0.65216,0.73749,0.70463,0.60059,1.14353,1.3285,1.38648,1.24389,1.17477,1.10092,1.01432,1.07243,1.1131,0.98121,0.97172,1.07235,,,,,,,,,,,,,
Dec1952,1.0208,1.39362,1.36535,1.09117,0.83583,0.97864,0.79334,0.56956,0.14278,-0.24985,0.1689,0.6222,0.48258,0.3508,1.27764,1.17763,1.14224,1.11446,1.07846,1.1062,0.91967,0.99116,0.9773,0.84691,1.34176,1.494,1.55589,1.42204,1.3703,1.30305,1.22828,1.2838,1.31403,1.19956,1.19,1.27061,,,,,,,,,,,,
Jan1953,0.22952,0.89856,1.29931,1.31737,1.03178,0.81758,0.95248,0.78626,0.59212,0.22779,-0.14212,0.21176,0.60258,0.48838,0.3485,1.23455,1.14067,1.11162,1.08325,1.04578,1.07993,0.90342,0.96849,0.97036,0.84185,1.34503,1.50856,1.57121,1.42936,1.38152,1.31687,1.24117,1.29293,1.33347,1.21827,1.2014,1.28421,,,,,,,,,,,
Feb1953,-0.15854,0.02474,0.5153,1.00505,1.07033,0.77369,0.55603,0.68302,0.52516,0.36436,0.05738,-0.2608,0.05492,0.43892,0.342,0.23275,1.08654,0.99395,0.9656,0.93353,0.89732,0.93883,0.76673,0.84677,0.84746,0.72836,1.23874,1.41818,1.46781,1.31135,1.25703,1.18854,1.1074,1.15751,1.20738,1.08891,1.08067,1.17558,,,,,,,,,,
Mar1953,-1.34172,-0.95239,-0.55637,-0.0653,0.49818,0.6309,0.34272,0.11545,0.24198,0.08706,-0.06553,-0.35575,-0.63599,-0.31311,0.09837,0.03109,-0.07679,0.81365,0.71274,0.67838,0.6412,0.60027,0.64318,0.47523,0.56509,0.57788,0.47715,1.00988,1.21986,1.2748,1.1014,1.03282,0.95428,0.86328,0.92338,0.97656,0.85111,0.84291,0.95961,,,,,,,,,
Apr1953,0.17701,-1.17195,-0.90674,-0.51562,-0.03161,0.53065,0.65884,0.36626,0.14121,0.26917,0.11741,-0.04092,-0.32581,-0.6117,-0.27538,0.13614,0.05469,-0.05004,0.83197,0.73278,0.69865,0.66224,0.61959,0.65848,0.4901,0.57938,0.58865,0.49116,1.01567,1.21671,1.26534,1.10187,1.03548,0.9582,0.86928,0.92809,0.98134,0.85727,0.84858,0.96202,,,,,,,,
May1953,2.06218,1.52817,0.22812,0.06226,0.14281,0.56974,1.05454,1.13981,0.87249,0.66234,0.78596,0.63332,0.47684,0.19378,-0.13771,0.17684,0.52569,0.43035,0.31226,1.11174,1.02525,0.99987,0.96755,0.92875,0.96357,0.79979,0.87024,0.87673,0.7565,1.23805,1.41838,1.45351,1.30638,1.25502,1.1884,1.10909,1.1597,1.21115,1.09764,1.09019,1.17727,,,,,,,
