DATA,SPEI_1,SPEI_2,SPEI_3,SPEI_4,SPEI_5,SPEI_6,SPEI_7,SPEI_8,SPEI_9,SPEI_10,SPEI_11,SPEI_12,SPEI_13,SPEI_14,SPEI_15,SPEI_16,SPEI_17,SPEI_18,SPEI_19,SPEI_20,SPEI_21,SPEI_22,SPEI_23,SPEI_24,SPEI_25,SPEI_26,SPEI_27,SPEI_28,SPEI_29,SPEI_30,SPEI_31,SPEI_32,SPEI_33,SPEI_34,SPEI_35,SPEI_36,SPEI_37,SPEI_38,SPEI_39,SPEI_40,SPEI_41,SPEI_42,SPEI_43,SPEI_44,SPEI_45,SPEI_46,SPEI_47,SPEI_48
Jan1950,0.35333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1950,-0.69616,-0.33019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1950,1.43702,0.51009,0.47649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1950,0.23144,1.12618,0.4881,0.45567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1950,0.23083,0.25055,1.06491,0.47225,0.47144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1950,-0.81841,-0.24233,-0.09925,0.85727,0.27936,0.33662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1950,-1.53867,-1.54129,-0.8918,-0.56902,0.443,-0.0764,0.0166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1950,-0.73838,-1.29728,-1.40667,-1.03754,-0.72787,0.18759,-0.25092,-0.12301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep1950,0.09683,-0.44113,-0.91995,-1.15076,-1.03327,-0.75958,0.11846,-0.34124,-0.16686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct1950,-0.80345,-0.72102,-0.93892,-1.19758,-1.33143,-1.24748,-1.08331,-0.47743,-0.72864,-0.55826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov1950,-0.54106,-1.11732,-1.02688,-1.20222,-1.41368,-1.52382,-1.43023,-1.28812,-0.71774,-0.94406,-0.79904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec1950,1.11989,0.42196,-0.16195,-0.18162,-0.37981,-0.67008,-0.85752,-0.81503,-0.74702,-0.15389,-0.43741,-0.31551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan1951,0.99651,1.29032,0.79359,0.35929,0.29719,0.1407,-0.08782,-0.24448,-0.22851,-0.23597,0.25751,0.01033,0.1079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1951,-0.60642,0.22353,0.83754,0.46894,0.05134,0.02976,-0.10284,-0.31862,-0.4577,-0.45262,-0.45438,0.01341,-0.22551,-0.13798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1951,0.52921,-0.16483,0.36788,0.89986,0.55793,0.16213,0.13713,0.01435,-0.17814,-0.3009,-0.29997,-0.30545,0.11237,-0.11917,-0.04454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1951,-1.20736,-0.29894,-0.69769,-0.10392,0.43668,0.22864,-0.13783,-0.14683,-0.25193,-0.42171,-0.52791,-0.52375,-0.51621,-0.12322,-0.33149,-0.24786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1951,-0.98166,-1.49568,-0.77521,-0.98779,-0.38099,0.18165,0.01621,-0.33184,-0.32656,-0.42632,-0.59172,-0.69392,-0.68391,-0.66545,-0.29681,-0.50778,-0.41311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1951,-0.85022,-1.20257,-1.70305,-1.06738,-1.18369,-0.5416,0.062,-0.11891,-0.47492,-0.4559,-0.55522,-0.7209,-0.82385,-0.80878,-0.77923,-0.40563,-0.6108,-0.51414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1951,-1.03662,-1.24234,-1.44667,-1.79652,-1.25248,-1.29408,-0.71469,-0.1313,-0.28353,-0.62226,-0.59465,-0.68121,-0.8255,-0.91854,-0.89924,-0.86755,-0.51824,-0.70446,-0.61058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1951,-0.60634,-0.96509,-1.17341,-1.41286,-1.6049,-1.2739,-1.34423,-0.79114,-0.21416,-0.36511,-0.70448,-0.67716,-0.75602,-0.8916,-0.97983,-0.95623,-0.92056,-0.57638,-0.7521,-0.66319,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep1951,1.14921,0.67289,0.17313,-0.1875,-0.67244,-0.99439,-0.66688,-0.93577,-0.41827,0.13031,-0.0506,-0.41964,-0.40861,-0.49505,-0.63522,-0.72795,-0.71457,-0.6899,-0.34131,-0.53101,-0.43503,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct1951,1.61752,1.83268,1.74294,1.51511,1.36817,0.99312,0.46005,0.59057,0.27442,0.61445,0.8961,0.66284,0.37504,0.36061,0.27161,0.13904,0.05898,0.0769,0.06102,0.37266,0.19371,0.24524,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov1951,0.96333,1.767,1.91269,1.87048,1.71712,1.6716,1.38543,0.88497,0.95633,0.64947,0.92911,1.1673,0.90757,0.64769,0.62264,0.52614,0.37907,0.29221,0.31467,0.30153,0.60114,0.42225,0.47389,,,,,,,,,,,,,,,,,,,,,,,,,
Dec1951,-0.11723,0.51816,1.58061,1.7117,1.60357,1.45532,1.35815,1.14821,0.76201,0.84271,0.5722,0.82814,1.0478,0.82916,0.56344,0.5415,0.45249,0.3075,0.21801,0.23434,0.22299,0.52,0.34211,0.41671,,,,,,,,,,,,,,,,,,,,,,,,
