,year,SPEI_12,lat,long
73,2023,,34.75,19.25
147,2023,,34.75,19.75
221,2023,,34.75,20.25
295,2023,,34.75,20.75
369,2023,,34.75,21.25
443,2023,,34.75,21.75
517,2023,,34.75,22.25
591,2023,,34.75,22.75
665,2023,,34.75,23.25
739,2023,,34.75,23.75
813,2023,-1.7444,34.75,24.25
887,2023,-1.7444,34.75,24.75
961,2023,-2.74408,34.75,25.25
1035,2023,-2.74408,34.75,25.75
1109,2023,,34.75,26.25
1183,2023,,34.75,26.75
1257,2023,,35.25,19.25
1331,2023,,35.25,19.75
1405,2023,,35.25,20.25
1479,2023,,35.25,20.75
1553,2023,,35.25,21.25
1627,2023,,35.25,21.75
1701,2023,,35.25,22.25
1775,2023,,35.25,22.75
1849,2023,-0.98248,35.25,23.25
1923,2023,-0.98248,35.25,23.75
1997,2023,-1.47959,35.25,24.25
2071,2023,-1.47959,35.25,24.75
2145,2023,-2.4625,35.25,25.25
2219,2023,-2.4625,35.25,25.75
2293,2023,-2.90311,35.25,26.25
2367,2023,-2.90311,35.25,26.75
2441,2023,,35.75,19.25
2515,2023,,35.75,19.75
2589,2023,,35.75,20.25
2663,2023,,35.75,20.75
2737,2023,,35.75,21.25
2811,2023,,35.75,21.75
2885,2023,,35.75,22.25
2959,2023,,35.75,22.75
3033,2023,-0.98248,35.75,23.25
3107,2023,-0.98248,35.75,23.75
3181,2023,-1.47959,35.75,24.25
3255,2023,-1.47959,35.75,24.75
3329,2023,-2.4625,35.75,25.25
3403,2023,-2.4625,35.75,25.75
3477,2023,-2.90311,35.75,26.25
3551,2023,-2.90311,35.75,26.75
3625,2023,,36.25,19.25
3699,2023,,36.25,19.75
3773,2023,,36.25,20.25
3847,2023,,36.25,20.75
3921,2023,,36.25,21.25
3995,2023,,36.25,21.75
4069,2023,-0.70525,36.25,22.25
4143,2023,-0.70525,36.25,22.75
4217,2023,-0.43928,36.25,23.25
4291,2023,-0.43928,36.25,23.75
4365,2023,-0.23884,36.25,24.25
4439,2023,-0.23884,36.25,24.75
4513,2023,-1.49077,36.25,25.25
4587,2023,-1.49077,36.25,25.75
4661,2023,-2.29015,36.25,26.25
4735,2023,-2.29015,36.25,26.75
4809,2023,,36.75,19.25
4883,2023,,36.75,19.75
4957,2023,,36.75,20.25
5031,2023,,36.75,20.75
5105,2023,,36.75,21.25
5179,2023,,36.75,21.75
5253,2023,-0.70525,36.75,22.25
5327,2023,-0.70525,36.75,22.75
5401,2023,-0.43928,36.75,23.25
5475,2023,-0.43928,36.75,23.75
5549,2023,-0.23884,36.75,24.25
5623,2023,-0.23884,36.75,24.75
5697,2023,-1.49077,36.75,25.25
5771,2023,-1.49077,36.75,25.75
5845,2023,-2.29015,36.75,26.25
5919,2023,-2.29015,36.75,26.75
5993,2023,,37.25,19.25
6067,2023,,37.25,19.75
6141,2023,,37.25,20.25
6215,2023,,37.25,20.75
6289,2023,-0.47802,37.25,21.25
6363,2023,-0.47802,37.25,21.75
6437,2023,-0.64096,37.25,22.25
6511,2023,-0.64096,37.25,22.75
6585,2023,-0.08384,37.25,23.25
6659,2023,-0.08384,37.25,23.75
6733,2023,-1.30404,37.25,24.25
6807,2023,-1.30404,37.25,24.75
6881,2023,-1.86275,37.25,25.25
6955,2023,-1.86275,37.25,25.75
7029,2023,-2.83948,37.25,26.25
7103,2023,-2.83948,37.25,26.75
7177,2023,,37.75,19.25
7251,2023,,37.75,19.75
7325,2023,,37.75,20.25
7399,2023,,37.75,20.75
7473,2023,-0.47802,37.75,21.25
7547,2023,-0.47802,37.75,21.75
7621,2023,-0.64096,37.75,22.25
7695,2023,-0.64096,37.75,22.75
7769,2023,-0.08384,37.75,23.25
7843,2023,-0.08384,37.75,23.75
7917,2023,-1.30404,37.75,24.25
7991,2023,-1.30404,37.75,24.75
8065,2023,-1.86275,37.75,25.25
8139,2023,-1.86275,37.75,25.75
8213,2023,-2.83948,37.75,26.25
8287,2023,-2.83948,37.75,26.75
8361,2023,,38.25,19.25
8435,2023,,38.25,19.75
8509,2023,-0.60759,38.25,20.25
8583,2023,-0.60759,38.25,20.75
8657,2023,-0.61825,38.25,21.25
8731,2023,-0.61825,38.25,21.75
8805,2023,-0.83981,38.25,22.25
8879,2023,-0.83981,38.25,22.75
8953,2023,-0.89311,38.25,23.25
9027,2023,-0.89311,38.25,23.75
9101,2023,-0.93529,38.25,24.25
9175,2023,-0.93529,38.25,24.75
9249,2023,-1.77065,38.25,25.25
9323,2023,-1.77065,38.25,25.75
9397,2023,-1.88878,38.25,26.25
9471,2023,-1.88878,38.25,26.75
9545,2023,,38.75,19.25
9619,2023,,38.75,19.75
9693,2023,-0.60759,38.75,20.25
9767,2023,-0.60759,38.75,20.75
9841,2023,-0.61825,38.75,21.25
9915,2023,-0.61825,38.75,21.75
9989,2023,-0.83981,38.75,22.25
10063,2023,-0.83981,38.75,22.75
10137,2023,-0.89311,38.75,23.25
10211,2023,-0.89311,38.75,23.75
10285,2023,-0.93529,38.75,24.25
10359,2023,-0.93529,38.75,24.75
10433,2023,-1.77065,38.75,25.25
10507,2023,-1.77065,38.75,25.75
10581,2023,-1.88878,38.75,26.25
10655,2023,-1.88878,38.75,26.75
10729,2023,-1.54832,39.25,19.25
10803,2023,-1.54832,39.25,19.75
10877,2023,-1.4003,39.25,20.25
10951,2023,-1.4003,39.25,20.75
11025,2023,-0.40137,39.25,21.25
11099,2023,-0.40137,39.25,21.75
11173,2023,0.35581,39.25,22.25
11247,2023,0.35581,39.25,22.75
11321,2023,-0.05025,39.25,23.25
11395,2023,-0.05025,39.25,23.75
11469,2023,0.26116,39.25,24.25
11543,2023,0.26116,39.25,24.75
11617,2023,-1.30514,39.25,25.25
11691,2023,-1.30514,39.25,25.75
11765,2023,-1.81798,39.25,26.25
11839,2023,-1.81798,39.25,26.75
11913,2023,-1.54832,39.75,19.25
11987,2023,-1.54832,39.75,19.75
12061,2023,-1.4003,39.75,20.25
12135,2023,-1.4003,39.75,20.75
12209,2023,-0.40137,39.75,21.25
12283,2023,-0.40137,39.75,21.75
12357,2023,0.35581,39.75,22.25
12431,2023,0.35581,39.75,22.75
12505,2023,-0.05025,39.75,23.25
12579,2023,-0.05025,39.75,23.75
12653,2023,0.26116,39.75,24.25
12727,2023,0.26116,39.75,24.75
12801,2023,-1.30514,39.75,25.25
12875,2023,-1.30514,39.75,25.75
12949,2023,-1.81798,39.75,26.25
13023,2023,-1.81798,39.75,26.75
13097,2023,-0.941,40.25,19.25
13171,2023,-0.941,40.25,19.75
13245,2023,-0.44919,40.25,20.25
13319,2023,-0.44919,40.25,20.75
13393,2023,0.19344,40.25,21.25
13467,2023,0.19344,40.25,21.75
13541,2023,-0.28819,40.25,22.25
13615,2023,-0.28819,40.25,22.75
13689,2023,-0.13788,40.25,23.25
13763,2023,-0.13788,40.25,23.75
13837,2023,-1.14864,40.25,24.25
13911,2023,-1.14864,40.25,24.75
13985,2023,-1.56524,40.25,25.25
14059,2023,-1.56524,40.25,25.75
14133,2023,-2.15409,40.25,26.25
14207,2023,-2.15409,40.25,26.75
14281,2023,-0.941,40.75,19.25
14355,2023,-0.941,40.75,19.75
14429,2023,-0.44919,40.75,20.25
14503,2023,-0.44919,40.75,20.75
14577,2023,0.19344,40.75,21.25
14651,2023,0.19344,40.75,21.75
14725,2023,-0.28819,40.75,22.25
14799,2023,-0.28819,40.75,22.75
14873,2023,-0.13788,40.75,23.25
14947,2023,-0.13788,40.75,23.75
15021,2023,-1.14864,40.75,24.25
15095,2023,-1.14864,40.75,24.75
15169,2023,-1.56524,40.75,25.25
15243,2023,-1.56524,40.75,25.75
15317,2023,-2.15409,40.75,26.25
15391,2023,-2.15409,40.75,26.75
15465,2023,-1.22399,41.25,19.25
15539,2023,-1.22399,41.25,19.75
15613,2023,-0.25799,41.25,20.25
15687,2023,-0.25799,41.25,20.75
15761,2023,-0.12514,41.25,21.25
15835,2023,-0.12514,41.25,21.75
15909,2023,-1.00825,41.25,22.25
15983,2023,-1.00825,41.25,22.75
16057,2023,-1.12962,41.25,23.25
16131,2023,-1.12962,41.25,23.75
16205,2023,-1.438,41.25,24.25
16279,2023,-1.438,41.25,24.75
16353,2023,-1.15301,41.25,25.25
16427,2023,-1.15301,41.25,25.75
16501,2023,-1.93421,41.25,26.25
16575,2023,-1.93421,41.25,26.75
